telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function
0,1,0,Other,Internship,0,0,0
0,1,0,Full-time,Not Applicable,0,0,Customer Service
0,1,0,0,0,0,0,0
0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales
0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider
0,0,0,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing
0,1,0,Other,Internship,0,0,0
0,1,0,Full-time,Not Applicable,0,0,Customer Service
0,1,0,0,0,0,0,0
0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales
0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider
0,0,0,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing
0,1,0,Other,Internship,0,0,0
0,1,0,Full-time,Not Applicable,0,0,Customer Service
0,1,0,0,0,0,0,0
0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales
0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider
0,0,0,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing
