job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,Marketing Intern,US NY New York,Marketing,,We are Food52.,"Food52, a fast-growing, James Beard Award-winning online food community...",Experience with content management systems a major plus...,,0,1,0,Other,Internship,,,,0
2,Customer Service - Cloud Video Production,NZ,,,"90 Seconds, the worlds Cloud Video Production Service...",Organised - Focused - Vibrant - Awesome!...,What we expect from you:...,What you will get from us...,0,1,0,Full-time,Not Applicable,,,Customer Service,0
3,Commissioning Machinery Assistant (CMA),US IA Wever,,,Valor Services provides Workforce Solutions...,"Our client, an international technology and engineering company...",Implement pre-commissioning and commissioning procedures...,,0,1,0,,,,,,0
4,Account Executive - Washington DC,US DC Washington,Sales,,Our passion for improving quality of life...,THE COMPANY: ESRI – Environmental Systems Research Institute...,EDUCATION/EXPERIENCE:...,Our culture is one of the things that sets us apart...,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0
5,Bill Review Manager,US FL Fort Worth,,,SpotSource Solutions LLC is a Global Human Capital Management...,JOB TITLE: Bill Review Manager...,Bachelor's degree in a related field...,Competitive salary...,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,1
6,Accounting Clerk,US MD,,,,"Job Description
We are looking for a skilled Accounting Clerk...",Proven accounting experience...,,0,0,0,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing,1
1,Marketing Intern,US NY New York,Marketing,,We are Food52.,"Food52, a fast-growing, James Beard Award-winning online food community...",Experience with content management systems a major plus...,,0,1,0,Other,Internship,,,,0
2,Customer Service - Cloud Video Production,NZ,,,"90 Seconds, the worlds Cloud Video Production Service...",Organised - Focused - Vibrant - Awesome!...,What we expect from you:...,What you will get from us...,0,1,0,Full-time,Not Applicable,,,Customer Service,0
3,Commissioning Machinery Assistant (CMA),US IA Wever,,,Valor Services provides Workforce Solutions...,"Our client, an international technology and engineering company...",Implement pre-commissioning and commissioning procedures...,,0,1,0,,,,,,0
4,Account Executive - Washington DC,US DC Washington,Sales,,Our passion for improving quality of life...,THE COMPANY: ESRI – Environmental Systems Research Institute...,EDUCATION/EXPERIENCE:...,Our culture is one of the things that sets us apart...,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0
5,Bill Review Manager,US FL Fort Worth,,,SpotSource Solutions LLC is a Global Human Capital Management...,JOB TITLE: Bill Review Manager...,Bachelor's degree in a related field...,Competitive salary...,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,1
6,Accounting Clerk,US MD,,,,"Job Description
We are looking for a skilled Accounting Clerk...",Proven accounting experience...,,0,0,0,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing,1
1,Marketing Intern,US NY New York,Marketing,,We are Food52.,"Food52, a fast-growing, James Beard Award-winning online food community...",Experience with content management systems a major plus...,,0,1,0,Other,Internship,,,,0
2,Customer Service - Cloud Video Production,NZ,,,"90 Seconds, the worlds Cloud Video Production Service...",Organised - Focused - Vibrant - Awesome!...,What we expect from you:...,What you will get from us...,0,1,0,Full-time,Not Applicable,,,Customer Service,0
3,Commissioning Machinery Assistant (CMA),US IA Wever,,,Valor Services provides Workforce Solutions...,"Our client, an international technology and engineering company...",Implement pre-commissioning and commissioning procedures...,,0,1,0,,,,,,0
4,Account Executive - Washington DC,US DC Washington,Sales,,Our passion for improving quality of life...,THE COMPANY: ESRI – Environmental Systems Research Institute...,EDUCATION/EXPERIENCE:...,Our culture is one of the things that sets us apart...,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0
5,Bill Review Manager,US FL Fort Worth,,,SpotSource Solutions LLC is a Global Human Capital Management...,JOB TITLE: Bill Review Manager...,Bachelor's degree in a related field...,Competitive salary...,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,1
6,Accounting Clerk,US MD,,,,"Job Description
We are looking for a skilled Accounting Clerk...",Proven accounting experience...,,0,0,0,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing,1
